customerID,ContractType,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,BillingID
7590-VHVEG,Month-to-month,Yes,29.85,29.85,No,B7045
5575-GNVDE,One year,No,56.95,1889.5,No,B7046
3668-QPYBK,Month-to-month,Yes,53.85,108.15,Yes,B7047
7795-CFOCW,One year,No,42.3,1840.75,No,B7048
9237-HQITU,Month-to-month,Yes,70.7,151.65,Yes,B7049
9305-CDSKC,Month-to-month,Yes,99.65,820.5,Yes,B7050
1452-KIOVK,Month-to-month,Yes,89.1,1949.4,No,B7051
6713-OKOMC,Month-to-month,No,29.75,301.9,No,B7052
7892-POOKP,Month-to-month,Yes,104.8,3046.05,Yes,B7053
6388-TABGU,One year,No,56.15,3487.95,No,B7054
9763-GRSKD,Month-to-month,Yes,49.95,587.45,No,B7055
7469-LKBCI,Two year,No,18.95,326.8,No,B7056
8091-TTVAX,One year,No,100.35,5681.1,No,B7057
0280-XJGEX,Month-to-month,Yes,103.7,5036.3,Yes,B7058
5129-JLPIS,Month-to-month,Yes,105.5,2686.05,No,B7059
3655-SNQYZ,Two year,No,113.25,7895.15,No,B7060
8191-XWSZG,One year,No,20.65,1022.95,No,B7061
9959-WOFKT,Two year,No,106.7,7382.25,No,B7062
4190-MFLUW,Month-to-month,No,55.2,528.35,Yes,B7063
4183-MYFRB,Month-to-month,Yes,90.05,1862.9,No,B7064
8779-QRDMV,Month-to-month,Yes,39.65,39.65,Yes,B7065
1680-VDCWW,One year,No,19.8,202.25,No,B7066
1066-JKSGK,Month-to-month,No,20.15,20.15,Yes,B7067
3638-WEABW,Two year,Yes,59.9,3505.1,No,B7068
6322-HRPFA,Month-to-month,No,59.6,2970.3,No,B7069
6865-JZNKO,Month-to-month,Yes,55.3,1530.6,No,B7070
6467-CHFZW,Month-to-month,Yes,99.35,4749.15,Yes,B7071
8665-UTDHZ,Month-to-month,No,30.2,30.2,Yes,B7072
5248-YGIJN,Two year,Yes,90.25,6369.45,No,B7073
8773-HHUOZ,Month-to-month,Yes,64.7,1093.1,Yes,B7074
3841-NFECX,Two year,Yes,96.35,6766.95,No,B7075
4929-XIHVW,Month-to-month,Yes,95.5,181.65,No,B7076
6827-IEAUQ,One year,No,66.15,1874.45,No,B7077
7310-EGVHZ,Month-to-month,No,20.2,20.2,No,B7078
3413-BMNZE,Month-to-month,No,45.25,45.25,No,B7079
6234-RAAPL,Two year,No,99.9,7251.7,No,B7080
6047-YHPVI,Month-to-month,Yes,69.7,316.9,Yes,B7081
6572-ADKRS,Month-to-month,Yes,74.8,3548.3,No,B7082
5380-WJKOV,Month-to-month,Yes,106.35,3549.25,Yes,B7083
8168-UQWWF,Month-to-month,Yes,97.85,1105.4,Yes,B7084
8865-TNMNX,One year,No,49.55,475.7,No,B7085
9489-DEDVP,Two year,Yes,69.2,4872.35,No,B7086
9867-JCZSP,One year,No,20.75,418.25,No,B7087
4671-VJLCL,Two year,Yes,79.85,4861.45,No,B7088
4080-IIARD,Month-to-month,Yes,76.2,981.45,No,B7089
3714-NTNFO,Month-to-month,Yes,84.5,3906.7,No,B7090
5948-UJZLF,Month-to-month,No,49.25,97,No,B7091
7760-OYPDY,Month-to-month,Yes,80.65,144.15,Yes,B7092
7639-LIAYI,Two year,Yes,79.75,4217.8,No,B7093
2954-PIBKO,Two year,Yes,64.15,4254.1,No,B7094
8012-SOUDQ,Month-to-month,Yes,90.25,3838.75,No,B7095
9420-LOJKX,Month-to-month,Yes,99.1,1426.4,Yes,B7096
6575-SUVOI,Month-to-month,Yes,69.5,1752.65,No,B7097
7495-OOKFY,Month-to-month,Yes,80.65,633.3,Yes,B7098
4667-QONEA,One year,Yes,74.85,4456.35,No,B7099
1658-BYGOY,Month-to-month,Yes,95.45,1752.55,Yes,B7100
8769-KKTPH,One year,Yes,99.65,6311.2,No,B7101
5067-XJQFU,One year,Yes,108.45,7076.35,No,B7102
3957-SQXML,Two year,No,24.95,894.3,No,B7103
5954-BDFSG,Two year,Yes,107.5,7853.7,No,B7104
0434-CSFON,Month-to-month,Yes,100.5,4707.1,No,B7105
1215-FIGMP,Month-to-month,Yes,89.9,5450.7,No,B7106
0526-SXDJP,Two year,No,42.1,2962,No,B7107
0557-ASKVU,One year,Yes,54.4,957.1,No,B7108
5698-BQJOH,Month-to-month,No,94.4,857.25,Yes,B7109
5122-CYFXA,Month-to-month,Yes,75.3,244.1,No,B7110
8627-ZYGSZ,One year,Yes,78.9,3650.35,No,B7111
3410-YOQBQ,Two year,No,79.2,2497.2,No,B7112
3170-NMYVV,Two year,No,20.15,930.9,No,B7113
7410-OIEDU,Month-to-month,Yes,79.85,887.35,No,B7114
2273-QCKXA,Month-to-month,No,49.05,49.05,No,B7115
0731-EBJQB,One year,Yes,20.4,1090.65,No,B7116
1891-QRQSA,Two year,Yes,111.6,7099,No,B7117
8028-PNXHQ,Two year,Yes,24.25,1424.6,No,B7118
5630-AHZIL,Month-to-month,Yes,64.5,177.4,No,B7119
2673-CXQEU,One year,No,110.5,6139.5,No,B7120
6416-JNVRK,One year,No,55.65,2688.85,No,B7121
5590-ZSKRV,Month-to-month,No,54.65,482.25,No,B7122
0191-ZHSKZ,Month-to-month,Yes,74.75,2111.3,No,B7123
3887-PBQAO,One year,Yes,25.9,1216.6,No,B7124
5919-TMRGD,Month-to-month,Yes,79.35,79.35,Yes,B7125
8108-UXRQN,Month-to-month,No,50.55,565.35,No,B7126
9191-MYQKX,Month-to-month,Yes,75.15,496.9,Yes,B7127
9919-YLNNG,Month-to-month,Yes,103.8,4327.5,No,B7128
0318-ZOPWS,Two year,Yes,20.15,973.35,No,B7129
4445-ZJNMU,Month-to-month,Yes,99.3,918.75,No,B7130
