customerID,PaymentMethod,PaymentID
7590-VHVEG,Electronic check,P7045
5575-GNVDE,Mailed check,P7046
3668-QPYBK,Mailed check,P7047
7795-CFOCW,Bank transfer (automatic),P7048
9237-HQITU,Electronic check,P7049
9305-CDSKC,Electronic check,P7050
1452-KIOVK,Credit card (automatic),P7051
6713-OKOMC,Mailed check,P7052
7892-POOKP,Electronic check,P7053
6388-TABGU,Bank transfer (automatic),P7054
9763-GRSKD,Mailed check,P7055
7469-LKBCI,Credit card (automatic),P7056
8091-TTVAX,Credit card (automatic),P7057
0280-XJGEX,Bank transfer (automatic),P7058
5129-JLPIS,Electronic check,P7059
3655-SNQYZ,Credit card (automatic),P7060
8191-XWSZG,Mailed check,P7061
9959-WOFKT,Bank transfer (automatic),P7062
4190-MFLUW,Credit card (automatic),P7063
4183-MYFRB,Electronic check,P7064
8779-QRDMV,Electronic check,P7065
1680-VDCWW,Bank transfer (automatic),P7066
1066-JKSGK,Mailed check,P7067
3638-WEABW,Credit card (automatic),P7068
6322-HRPFA,Credit card (automatic),P7069
6865-JZNKO,Bank transfer (automatic),P7070
6467-CHFZW,Electronic check,P7071
8665-UTDHZ,Electronic check,P7072
5248-YGIJN,Credit card (automatic),P7073
8773-HHUOZ,Mailed check,P7074
3841-NFECX,Credit card (automatic),P7075
4929-XIHVW,Credit card (automatic),P7076
6827-IEAUQ,Mailed check,P7077
7310-EGVHZ,Bank transfer (automatic),P7078
3413-BMNZE,Bank transfer (automatic),P7079
6234-RAAPL,Bank transfer (automatic),P7080
6047-YHPVI,Electronic check,P7081
6572-ADKRS,Credit card (automatic),P7082
5380-WJKOV,Electronic check,P7083
8168-UQWWF,Bank transfer (automatic),P7084
8865-TNMNX,Mailed check,P7085
9489-DEDVP,Credit card (automatic),P7086
9867-JCZSP,Mailed check,P7087
4671-VJLCL,Credit card (automatic),P7088
4080-IIARD,Electronic check,P7089
3714-NTNFO,Electronic check,P7090
5948-UJZLF,Mailed check,P7091
7760-OYPDY,Electronic check,P7092
7639-LIAYI,Credit card (automatic),P7093
2954-PIBKO,Credit card (automatic),P7094
8012-SOUDQ,Electronic check,P7095
9420-LOJKX,Credit card (automatic),P7096
6575-SUVOI,Credit card (automatic),P7097
7495-OOKFY,Credit card (automatic),P7098
4667-QONEA,Credit card (automatic),P7099
1658-BYGOY,Electronic check,P7100
8769-KKTPH,Credit card (automatic),P7101
5067-XJQFU,Electronic check,P7102
3957-SQXML,Credit card (automatic),P7103
5954-BDFSG,Credit card (automatic),P7104
0434-CSFON,Electronic check,P7105
1215-FIGMP,Bank transfer (automatic),P7106
0526-SXDJP,Bank transfer (automatic),P7107
0557-ASKVU,Credit card (automatic),P7108
5698-BQJOH,Electronic check,P7109
5122-CYFXA,Electronic check,P7110
8627-ZYGSZ,Electronic check,P7111
3410-YOQBQ,Mailed check,P7112
3170-NMYVV,Bank transfer (automatic),P7113
7410-OIEDU,Mailed check,P7114
2273-QCKXA,Mailed check,P7115
0731-EBJQB,Electronic check,P7116
1891-QRQSA,Bank transfer (automatic),P7117
8028-PNXHQ,Bank transfer (automatic),P7118
5630-AHZIL,Bank transfer (automatic),P7119
2673-CXQEU,Electronic check,P7120
6416-JNVRK,Credit card (automatic),P7121
5590-ZSKRV,Mailed check,P7122
0191-ZHSKZ,Electronic check,P7123
3887-PBQAO,Credit card (automatic),P7124
5919-TMRGD,Electronic check,P7125
8108-UXRQN,Electronic check,P7126
9191-MYQKX,Bank transfer (automatic),P7127
9919-YLNNG,Bank transfer (automatic),P7128
0318-ZOPWS,Bank transfer (automatic),P7129
4445-ZJNMU,Credit card (automatic),P7130
4808-YNLEU,Bank transfer (automatic),P7131
1862-QRWPE,Bank transfer (automatic),P7132
2796-NNUFI,Mailed check,P7133
3016-KSVCP,Mailed check,P7134
4767-HZZHQ,Bank transfer (automatic),P7135
2424-WVHPL,Electronic check,P7136
7233-PAHHL,Mailed check,P7137
6067-NGCEU,Credit card (automatic),P7138
9848-JQJTX,Bank transfer (automatic),P7139
8637-XJIVR,Electronic check,P7140
9803-FTJCG,Credit card (automatic),P7141
0278-YXOOG,Mailed check,P7142
3212-KXOCR,Bank transfer (automatic),P7143
4598-XLKNJ,Electronic check,P7144
6380-ARCEH,Mailed check,P7145
3679-XASPY,Electronic check,P7146
7123-WQUHX,Bank transfer (automatic),P7147
5386-THSLQ,Bank transfer (automatic),P7148
3192-NQECA,Bank transfer (automatic),P7149
6180-YBIQI,Mailed check,P7150
6728-DKUCO,Electronic check,P7151
9750-BOOHV,Mailed check,P7152
8597-CWYHH,Mailed check,P7153
2848-YXSMW,Credit card (automatic),P7154
0486-HECZI,Electronic check,P7155
4549-ZDQYY,Credit card (automatic),P7156
5712-AHQNN,Electronic check,P7157
4846-WHAFZ,Electronic check,P7158
5256-SKJGO,Electronic check,P7159
3071-VBYPO,Electronic check,P7160
9560-BBZXK,Bank transfer (automatic),P7161
5299-RULOA,Electronic check,P7162
8402-OOOHJ,Mailed check,P7163
9445-ZUEQE,Credit card (automatic),P7164
1091-SOZGA,Credit card (automatic),P7165
2928-HLDBA,Mailed check,P7166
0404-SWRVG,Electronic check,P7167
6497-TILVL,Mailed check,P7168
7219-TLZHO,Mailed check,P7169
4622-YNKIJ,Electronic check,P7170
4412-YLTKF,Electronic check,P7171
6734-PSBAW,Bank transfer (automatic),P7172
3930-ZGWVE,Mailed check,P7173
2639-UGMAZ,Electronic check,P7174
2876-GZYZC,Electronic check,P7175
6207-WIOLX,Credit card (automatic),P7176
8587-XYZSF,Bank transfer (automatic),P7177
3091-FYHKI,Electronic check,P7178
2372-HWUHI,Electronic check,P7179
7799-LGRDP,Credit card (automatic),P7180
7850-VWJUU,Bank transfer (automatic),P7181
3774-VBNXY,Mailed check,P7182
6217-KDYWC,Mailed check,P7183
0390-DCFDQ,Mailed check,P7184
3146-MSEGF,Credit card (automatic),P7185
4080-OGPJL,Electronic check,P7186
1095-WGNGG,Bank transfer (automatic),P7187
2636-SJDOU,Credit card (automatic),P7188
1131-QQZEB,Bank transfer (automatic),P7189
5716-EZXZN,Credit card (automatic),P7190
6837-BJYDQ,Mailed check,P7191
2135-RXIHG,Electronic check,P7192
6440-DKQGE,Credit card (automatic),P7193
3466-BYAVD,Mailed check,P7194
3780-YVMFA,Electronic check,P7195
3874-EQOEP,Mailed check,P7196
1679-JRFBR,Credit card (automatic),P7197
9073-ZZIAY,Electronic check,P7198
3077-RSNTJ,Mailed check,P7199
6551-GNYDG,Bank transfer (automatic),P7200
9167-APMXZ,Bank transfer (automatic),P7201
2749-CTKAJ,Mailed check,P7202
6371-NZYEG,Mailed check,P7203
7554-NEWDD,Bank transfer (automatic),P7204
8992-VONJD,Electronic check,P7205
0867-MKZVY,Electronic check,P7206
4482-EWFMI,Electronic check,P7207
4648-YPBTM,Bank transfer (automatic),P7208
2907-ILJBN,Mailed check,P7209
6345-FZOQH,Mailed check,P7210
3376-BMGFE,Bank transfer (automatic),P7211
5997-OPVFA,Bank transfer (automatic),P7212
3445-HXXGF,Electronic check,P7213
1159-WFSGR,Electronic check,P7214
7654-YWJUF,Bank transfer (automatic),P7215
1875-QIVME,Electronic check,P7216
6727-IOTLZ,Mailed check,P7217
0691-JVSYA,Bank transfer (automatic),P7218
5918-VUKWP,Bank transfer (automatic),P7219
1744-JHKYS,Electronic check,P7220
2656-FMOKZ,Mailed check,P7221
2070-FNEXE,Bank transfer (automatic),P7222
5947-SGKCL,Bank transfer (automatic),P7223
3712-PKXZA,Credit card (automatic),P7224
6317-YPKDH,Bank transfer (automatic),P7225
6582-OIVSP,Mailed check,P7226
9367-WXLCH,Bank transfer (automatic),P7227
5524-KHNJP,Credit card (automatic),P7228
1918-ZBFQJ,Electronic check,P7229
1024-GUALD,Electronic check,P7230
4827-USJHP,Mailed check,P7231
8167-GJLRN,Electronic check,P7232
0956-SYCWG,Electronic check,P7233
8017-UVSZU,Credit card (automatic),P7234
7100-FQPRV,Credit card (automatic),P7235
2472-OVKUP,Electronic check,P7236
2984-RGEYA,Bank transfer (automatic),P7237
9680-NIAUV,Credit card (automatic),P7238
2146-EGVDT,Credit card (automatic),P7239
2604-IJPDU,Electronic check,P7240
9178-JHUVJ,Bank transfer (automatic),P7241
6168-YBYNP,Electronic check,P7242
7255-SSFBC,Bank transfer (automatic),P7243
3645-DEYGF,Mailed check,P7244
9323-HGFWY,Credit card (automatic),P7245
8544-GOQSH,Credit card (automatic),P7246
3363-DTIVD,Electronic check,P7247
7018-WBJNK,Credit card (automatic),P7248
9142-KZXOP,Credit card (automatic),P7249
7674-YTAFD,Bank transfer (automatic),P7250
6348-SNFUS,Credit card (automatic),P7251
1285-OKIPP,Electronic check,P7252
7825-ECJRF,Electronic check,P7253
1347-KTTTA,Credit card (automatic),P7254
7841-TZDMQ,Credit card (automatic),P7255
4195-NZGTA,Electronic check,P7256
7157-SMCFK,Mailed check,P7257
4709-LKHYG,Electronic check,P7258
2504-DSHIH,Electronic check,P7259
0699-NDKJM,Bank transfer (automatic),P7260
9286-BHDQG,Credit card (automatic),P7261
0230-WEQUW,Bank transfer (automatic),P7262
2040-LDIWQ,Bank transfer (automatic),P7263
6496-JDSSB,Bank transfer (automatic),P7264
9408-SSNVZ,Electronic check,P7265
4443-EMBNA,Bank transfer (automatic),P7266
6469-MRVET,Electronic check,P7267
0742-MOABM,Mailed check,P7268
5961-VUSRV,Bank transfer (automatic),P7269
6778-JFCMK,Mailed check,P7270
6341-JVQGF,Mailed check,P7271
2232-DMLXU,Mailed check,P7272
4811-JBUVU,Credit card (automatic),P7273
0945-TSONX,Credit card (automatic),P7274
2651-ZCBXV,Credit card (automatic),P7275
3316-UWXUY,Credit card (automatic),P7276
8937-RDTHP,Mailed check,P7277
7083-MIOPC,Credit card (automatic),P7278
1984-GPTEH,Electronic check,P7279
1251-KRREG,Mailed check,P7280
0621-JFHOL,Mailed check,P7281
9903-LYSAB,Electronic check,P7282
0094-OIFMO,Electronic check,P7283
9227-UAQFT,Mailed check,P7284
7301-ABVAD,Bank transfer (automatic),P7285
6614-FHDBO,Bank transfer (automatic),P7286
7576-ASEJU,Credit card (automatic),P7287
9058-HRZSV,Electronic check,P7288
4522-AKYLR,Electronic check,P7289
0221-WMXNQ,Electronic check,P7290
0303-UNCIP,Mailed check,P7291
9947-OTFQU,Electronic check,P7292
0322-YINQP,Mailed check,P7293
0959-WHOKV,Electronic check,P7294
4075-JFPGR,Electronic check,P7295
4629-NRXKX,Electronic check,P7296
9514-JDSKI,Electronic check,P7297
3282-ZISZV,Credit card (automatic),P7298
3675-YDUPJ,Mailed check,P7299
4111-BNXIF,Electronic check,P7300
7017-VFHAY,Credit card (automatic),P7301
6655-LHBYW,Credit card (automatic),P7302
4959-JOSRX,Credit card (automatic),P7303
5046-NUHWD,Electronic check,P7304
7273-TEFQD,Electronic check,P7305
3606-TWKGI,Electronic check,P7306
7529-ZDFXI,Electronic check,P7307
7605-BDWDC,Bank transfer (automatic),P7308
1950-KSVVJ,Mailed check,P7309
0123-CRBRT,Mailed check,P7310
6292-TOSSS,Bank transfer (automatic),P7311
3197-ARFOY,Mailed check,P7312
6323-AYBRX,Mailed check,P7313
7014-ZZXAW,Credit card (automatic),P7314
4385-GZQXV,Electronic check,P7315
7633-MVPUY,Electronic check,P7316
6366-ZGQGL,Bank transfer (automatic),P7317
4716-HHKQH,Electronic check,P7318
5940-AHUHD,Mailed check,P7319
6432-TWQLB,Electronic check,P7320
4484-GLZOU,Electronic check,P7321
3179-GBRWV,Bank transfer (automatic),P7322
8645-KWHJO,Electronic check,P7323
4130-MZLCC,Bank transfer (automatic),P7324
0314-TKOSI,Mailed check,P7325
8229-MYEJZ,Electronic check,P7326
2080-SRCDE,Mailed check,P7327
9577-WJVCQ,Mailed check,P7328
9512-UIBFX,Mailed check,P7329
6202-DYYFX,Credit card (automatic),P7330
3808-HFKDE,Electronic check,P7331
5583-SXDAG,Electronic check,P7332
3488-PGMQJ,Electronic check,P7333
3580-REOAC,Credit card (automatic),P7334
7534-BFESC,Electronic check,P7335
3727-OWVYD,Mailed check,P7336
2294-SALNE,Mailed check,P7337
4847-TAJYI,Electronic check,P7338
1563-IWQEX,Mailed check,P7339
8203-XJZRC,Mailed check,P7340
6556-DBKZF,Electronic check,P7341
6851-WEFYX,Electronic check,P7342
2985-JUUBZ,Electronic check,P7343
6390-DSAZX,Mailed check,P7344
0895-LMRSF,Bank transfer (automatic),P7345
8098-LLAZX,Electronic check,P7346
8266-VBFQL,Electronic check,P7347
8181-YHCMF,Credit card (automatic),P7348
2240-HSJQD,Mailed check,P7349
1248-DYXUB,Mailed check,P7350
0265-EDXBD,Electronic check,P7351
4115-BNPJY,Mailed check,P7352
3167-SNQPL,Electronic check,P7353
4091-TVOCN,Credit card (automatic),P7354
1098-TDVUQ,Bank transfer (automatic),P7355
7277-OZCGZ,Electronic check,P7356
1557-EMYVT,Credit card (automatic),P7357
2799-ARNLO,Electronic check,P7358
7563-BIUPC,Electronic check,P7359
5027-YOCXN,Credit card (automatic),P7360
3973-SKMLN,Credit card (automatic),P7361
2321-OMBXY,Credit card (automatic),P7362
2840-XANRC,Electronic check,P7363
6745-JEFZB,Credit card (automatic),P7364
5020-ZSTTY,Bank transfer (automatic),P7365
9880-TDQAC,Electronic check,P7366
8705-WZCYL,Electronic check,P7367
7102-JJVTX,Mailed check,P7368
8626-PTQGE,Bank transfer (automatic),P7369
4983-CLMLV,Credit card (automatic),P7370
5701-YVSVF,Electronic check,P7371
5804-LEPIM,Electronic check,P7372
5697-GOMBF,Electronic check,P7373
2739-CACDQ,Credit card (automatic),P7374
9385-EHGDO,Mailed check,P7375
9498-FIMXL,Mailed check,P7376
2379-GYFLQ,Credit card (automatic),P7377
0122-OAHPZ,Electronic check,P7378
2868-SNELZ,Mailed check,P7379
4322-RCYMT,Bank transfer (automatic),P7380
6680-NENYN,Electronic check,P7381
2088-IEBAU,Electronic check,P7382
7982-VCELR,Credit card (automatic),P7383
1343-EHPYB,Electronic check,P7384
6035-BXTTY,Bank transfer (automatic),P7385
6885-PKOAM,Credit card (automatic),P7386
7520-HQWJU,Bank transfer (automatic),P7387
9639-BUJXT,Mailed check,P7388
5924-SNGKP,Credit card (automatic),P7389
0021-IKXGC,Electronic check,P7390
2034-GDRCN,Electronic check,P7391
8966-SNIZF,Bank transfer (automatic),P7392
6243-OZGFH,Electronic check,P7393
4654-DLAMQ,Bank transfer (automatic),P7394
0513-RBGPE,Credit card (automatic),P7395
5160-UXJED,Mailed check,P7396
4115-NZRKS,Electronic check,P7397
0219-YTZUE,Bank transfer (automatic),P7398
0623-IIHUG,Electronic check,P7399
4572-DVCGN,Bank transfer (automatic),P7400
3351-NGXYI,Electronic check,P7401
8984-EYLLL,Electronic check,P7402
9057-MSWCO,Credit card (automatic),P7403
9833-TGFHX,Electronic check,P7404
9294-TDIPC,Mailed check,P7405
5229-DTFYB,Bank transfer (automatic),P7406
0104-PPXDV,Credit card (automatic),P7407
5176-LMJXE,Mailed check,P7408
