customerID,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ServiceID
7590-VHVEG,No phone service,DSL,No,Yes,No,No,No,No,S7045
5575-GNVDE,No,DSL,Yes,No,Yes,No,No,No,S7046
3668-QPYBK,No,DSL,Yes,Yes,No,No,No,No,S7047
7795-CFOCW,No phone service,DSL,Yes,No,Yes,Yes,No,No,S7048
9237-HQITU,No,Fiber optic,No,No,No,No,No,No,S7049
9305-CDSKC,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,S7050
1452-KIOVK,Yes,Fiber optic,No,Yes,No,No,Yes,No,S7051
6713-OKOMC,No phone service,DSL,Yes,No,No,No,No,No,S7052
7892-POOKP,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,S7053
6388-TABGU,No,DSL,Yes,Yes,No,No,No,No,S7054
9763-GRSKD,No,DSL,Yes,No,No,No,No,No,S7055
7469-LKBCI,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7056
8091-TTVAX,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,S7057
0280-XJGEX,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,S7058
5129-JLPIS,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,S7059
3655-SNQYZ,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,S7060
8191-XWSZG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7061
9959-WOFKT,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,S7062
4190-MFLUW,No,DSL,No,No,Yes,Yes,No,No,S7063
4183-MYFRB,No,Fiber optic,No,Yes,Yes,No,No,Yes,S7064
8779-QRDMV,No phone service,DSL,No,No,Yes,No,No,Yes,S7065
1680-VDCWW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7066
1066-JKSGK,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7067
3638-WEABW,Yes,DSL,No,Yes,No,Yes,No,No,S7068
6322-HRPFA,No,DSL,Yes,Yes,No,Yes,No,No,S7069
6865-JZNKO,No,DSL,Yes,Yes,No,No,No,No,S7070
6467-CHFZW,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,S7071
8665-UTDHZ,No phone service,DSL,No,Yes,No,No,No,No,S7072
5248-YGIJN,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,S7073
8773-HHUOZ,No,DSL,No,No,No,No,Yes,Yes,S7074
3841-NFECX,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,S7075
4929-XIHVW,No,Fiber optic,No,No,Yes,No,Yes,Yes,S7076
6827-IEAUQ,No,DSL,Yes,Yes,Yes,Yes,No,No,S7077
7310-EGVHZ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7078
3413-BMNZE,No,DSL,No,No,No,No,No,No,S7079
6234-RAAPL,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,S7080
6047-YHPVI,No,Fiber optic,No,No,No,No,No,No,S7081
6572-ADKRS,No,Fiber optic,No,No,Yes,No,No,No,S7082
5380-WJKOV,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,S7083
8168-UQWWF,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,S7084
8865-TNMNX,No,DSL,No,Yes,No,No,No,No,S7085
9489-DEDVP,Yes,DSL,Yes,Yes,No,No,Yes,No,S7086
9867-JCZSP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7087
4671-VJLCL,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,S7088
4080-IIARD,Yes,DSL,Yes,Yes,No,Yes,Yes,No,S7089
3714-NTNFO,Yes,Fiber optic,No,No,No,No,No,Yes,S7090
5948-UJZLF,No,DSL,No,Yes,No,No,No,No,S7091
7760-OYPDY,No,Fiber optic,No,No,No,No,Yes,No,S7092
7639-LIAYI,Yes,DSL,Yes,No,No,Yes,Yes,Yes,S7093
2954-PIBKO,Yes,DSL,Yes,No,Yes,Yes,No,No,S7094
8012-SOUDQ,Yes,Fiber optic,No,Yes,No,No,Yes,No,S7095
9420-LOJKX,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,S7096
6575-SUVOI,Yes,DSL,Yes,No,No,Yes,Yes,No,S7097
7495-OOKFY,Yes,Fiber optic,No,Yes,No,No,No,No,S7098
4667-QONEA,No,DSL,Yes,Yes,Yes,Yes,No,Yes,S7099
1658-BYGOY,Yes,Fiber optic,No,No,No,No,Yes,Yes,S7100
8769-KKTPH,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,S7101
5067-XJQFU,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,S7102
3957-SQXML,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7103
5954-BDFSG,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,S7104
0434-CSFON,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,S7105
1215-FIGMP,Yes,Fiber optic,No,Yes,No,No,Yes,No,S7106
0526-SXDJP,No phone service,DSL,Yes,Yes,Yes,No,No,No,S7107
0557-ASKVU,No,DSL,No,No,Yes,Yes,No,No,S7108
5698-BQJOH,Yes,Fiber optic,No,No,No,No,Yes,Yes,S7109
5122-CYFXA,No,DSL,No,Yes,No,Yes,Yes,Yes,S7110
8627-ZYGSZ,Yes,Fiber optic,No,Yes,No,No,No,No,S7111
3410-YOQBQ,No,DSL,No,Yes,Yes,Yes,Yes,Yes,S7112
3170-NMYVV,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7113
7410-OIEDU,No,Fiber optic,Yes,No,Yes,No,No,No,S7114
2273-QCKXA,No,DSL,No,No,No,Yes,No,No,S7115
0731-EBJQB,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7116
1891-QRQSA,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,S7117
8028-PNXHQ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7118
5630-AHZIL,No,DSL,Yes,No,No,Yes,No,Yes,S7119
2673-CXQEU,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,S7120
6416-JNVRK,No,DSL,No,No,No,No,No,Yes,S7121
5590-ZSKRV,No,DSL,Yes,Yes,No,No,No,No,S7122
0191-ZHSKZ,No,DSL,Yes,Yes,No,No,Yes,Yes,S7123
3887-PBQAO,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7124
5919-TMRGD,No,Fiber optic,No,No,No,No,Yes,No,S7125
8108-UXRQN,No phone service,DSL,Yes,No,No,No,Yes,Yes,S7126
9191-MYQKX,No,Fiber optic,No,No,Yes,No,No,No,S7127
9919-YLNNG,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,S7128
0318-ZOPWS,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7129
4445-ZJNMU,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,S7130
4808-YNLEU,No,DSL,Yes,No,No,No,Yes,No,S7131
1862-QRWPE,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,S7132
